it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
10	-4284.302115680465	-3632.5198919483664	-651.7822237320992	0.168	0.136	0.0	0.0	0.0	0.8197802197802198	0.01126126126126126	0.0036814777632062927	0.10276711126897396	-0.005732196850398549	0.14318015335704828	0.04051162136526598	0.1118391028568551	0.7272727272727273	0
20	-4283.374724269589	-3630.991321205616	-652.3834030639734	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.004621117670165743	0.11039522222260059	-0.001565990577328942	0.15256100608306147	0.046266484225530015	0.1192309681109353	0.7142857142857143	0
30	-4278.793087169159	-3625.740443662872	-653.052643506287	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.004954488998427381	0.11788882443497646	0.016582909974400532	0.16555999824887002	0.055342047359904764	0.129050653157511	0.7741935483870968	0
40	-4279.435873020601	-3625.6761541868555	-653.7597188337458	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.005647848232503605	0.12584411103385426	-0.0002828481835083991	0.16146701026618207	0.0714827325041931	0.14667314468325054	0.8048780487804879	0
50	-4279.4260028051	-3625.2046486956297	-654.2213541094707	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.005233617794029897	0.12980408825580922	0.01911154329065058	0.1886915475809671	0.06208573907482062	0.14824611297576026	0.803921568627451	0
60	-4280.449218833326	-3625.2939307873835	-655.1552880459427	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.005730360237201604	0.14122605030809565	0.02468396799798264	0.18973307972598635	0.051195501988300265	0.13475936126447308	0.8032786885245902	0
70	-4280.542305754334	-3624.90420939107	-655.6380963632641	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.004034359632245496	0.14638624844417644	0.029156488583969718	0.19254102441654608	0.052674323406301744	0.1316306264928607	0.8028169014084507	0
80	-4279.896958426513	-3623.788358870743	-656.1085995557701	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0032630721798248673	0.1503161148645368	0.027729436983749595	0.19615713007802618	0.060300408130469656	0.14683170270544382	0.8024691358024691	0
90	-4280.22714871938	-3623.523166081014	-656.7039826383659	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.004243296379232403	0.1548271130198159	0.03553020039820153	0.2099562514086444	0.0625511280143002	0.158508081192843	0.7912087912087912	0
100	-4280.492753099077	-3623.388376807612	-657.1043762914652	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.004441047391134747	0.15772579344598653	0.011401847265559753	0.21943565219443995	0.06211292420585736	0.17151861779658908	0.8118811881188119	0
110	-4279.811487973789	-3621.9723916392427	-657.839096334546	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.006361072485125827	0.16386623260482278	0.017607362451014196	0.23551536218816338	0.06932908080308174	0.1644799433384185	0.801980198019802	0
