it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
100	-16786.931268411623	-5050.736220872899	-11736.195047538726	0.28921568627450983	0.28865979381443296	0.0010309278350515464	0.0	0.0	1.0	0.0	-0.0016630459108041389	0.10212244147793925	0.0001454422992633411	0.10094869184657308	-0.004096376458519998	0.10295809383846384	-0.0120276877858358	0.10587026341144606	0.52	0
200	-16612.618902514245	-4874.812391995988	-11737.806510518258	0.28921568627450983	0.28865979381443296	0.002061855670103093	0.0	0.0	0.9986945169712794	0.0	-0.0013789460097347512	0.10329605743314935	0.00030969802467018453	0.10203170208089732	-0.0037665178404905383	0.10450834300748695	-0.014070831611150785	0.11571524530042353	0.53	0
300	-16406.40458792299	-4666.940855424661	-11739.463732498327	0.3808446455505279	0.3642611683848797	0.9618556701030928	0.0	0.0	0.10052219321148825	0.0	-0.0015258000835126377	0.10432630386480517	0.000398548442878007	0.10343014060165354	-0.0033365362347614795	0.10536835985653942	-0.012177979156043359	0.12505098275854745	0.52	0
400	-16202.459725420733	-4461.125954131142	-11741.333771289592	0.473604826546003	0.46048109965635736	0.9051546391752577	0.0	0.0	0.4934725848563969	0.0	-0.0014935806416128974	0.10541566396050099	0.0006645245021519468	0.10499600865490168	-0.003122009823828907	0.10694620673957922	-0.013299051686540607	0.13066997720620704	0.525	0
500	-15990.162752735883	-4246.767937656669	-11743.394815079213	0.47322775263951733	0.46048109965635736	0.8989690721649485	0.0	0.0	0.5	0.0	-0.0018148932389415078	0.10683139942417359	0.0008170874621009509	0.10645259049173432	-0.002466387102373604	0.10867114171167931	-0.01074604193014156	0.13842339276440072	0.518	0
600	-15854.29734608735	-4108.736348444439	-11745.560997642913	0.4762443438914027	0.46048109965635736	0.8979381443298969	0.0	0.0	0.5117493472584856	0.0	-0.0015068210572051662	0.10847306725188864	0.001015077953131409	0.10774522167993472	-0.002273016315807712	0.11058970623449149	-0.015418864882892633	0.14717146904428954	0.5166666666666667	0
700	-15753.421459753787	-4005.8203035268452	-11747.601156226941	0.5162141779788839	0.49140893470790376	0.8371134020618557	0.0	0.0	0.7271540469973891	0.0	-0.001446535136434912	0.11005379021997831	0.0011537934922022923	0.10923412555972745	-0.0026412839105940398	0.11092796793076748	-0.020351718226999892	0.15270857879523275	0.5228571428571429	0
800	-15659.34150374509	-3910.120002738132	-11749.22150100696	0.5105580693815988	0.4879725085910653	0.8618556701030928	0.0	0.0	0.6762402088772846	0.0	-0.0013480280350639696	0.11115785145165571	0.0012684894085618933	0.11022894990740525	-0.0024004276412505155	0.1123256062404726	-0.028305598814244385	0.15912293542992112	0.52875	0
900	-15594.253814655636	-3843.4158846349374	-11750.8379300207	0.5214932126696833	0.5051546391752577	0.8474226804123711	0.0	0.0	0.7323759791122716	0.0	-0.0015687130704618458	0.11199387482968876	0.001318935334195489	0.11132709730368866	-0.0023195256346828586	0.1139642513845147	-0.031119110820728844	0.16828983434195216	0.5188888888888888	0
1000	-15562.178733479515	-3810.0901337777314	-11752.088599701785	0.5101809954751131	0.49140893470790376	0.8628865979381444	0.0	0.0	0.6736292428198434	0.0	-0.0017444788127771612	0.11282478678836085	0.001540216434015967	0.11223437593927757	-0.0022619973015151774	0.11446840750681413	-0.03526714872765444	0.17132968057117917	0.506	0
