it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
10	-4283.299882449249	-3640.506973908297	-642.7929085409519	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	0.0016390998187569253	0.1068930911594165	-0.007224236354853932	0.12834453702933352	0.04080161727444172	0.13189924197474012	1.0	0
20	-4284.1591387554145	-3640.5079034940536	-643.6512352613611	0.034482758620689655	0.008	0.04212860310421286	0.12967032967032968	0.0	0.0	0.0	0.0033943971333093735	0.11860481851451514	-0.006969457352466495	0.1265071867343049	0.038016354534970785	0.13560961356535703	0.95	0
30	-4284.8839620622175	-3640.4909395981185	-644.3930224640992	0.19230769230769232	0.196	0.9645232815964523	0.0	0.0	0.0	0.0	0.00045408591557708465	0.12778087364672466	0.00445328444673482	0.13587705767243913	0.043272904048253326	0.1297610391822773	0.9666666666666667	0
40	-4285.448716218425	-3640.4542064534053	-644.9945097650201	0.20114942528735633	0.2	0.0	1.0	0.0	0.0	0.0	-0.0029640742970220776	0.1340571414007222	0.007139615823492946	0.14397534398548462	0.06276035102720956	0.1340632120644654	0.95	0
50	-4286.21396762795	-3640.5499883596567	-645.6639792682936	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.001530412615137169	0.14071710271584212	0.0024820748238622704	0.14520449338848831	0.08258223170536376	0.14591613885781357	0.94	0
60	-4286.69142565107	-3640.2426006968817	-646.4488249541878	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.002422785270968544	0.14766632046180583	0.014489108238220937	0.15512545337789246	0.08029582129707158	0.17167707722497078	0.9166666666666666	0
70	-4287.6462721436355	-3640.1446412322503	-647.5016309113853	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	0.00029113375804920664	0.15727214984539153	0.016205640551157852	0.146030102988355	0.07357220533310624	0.20492609783013443	0.9285714285714286	0
80	-4288.424060968113	-3640.150193360519	-648.2738676075935	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.00019217583186083287	0.1643468433132048	0.023537043412318645	0.1415428261847281	0.07323999690101185	0.2147522241786486	0.925	0
90	-4288.850450247011	-3640.003870312835	-648.8465799341768	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.00012835927656624555	0.16852291778294784	0.03599457305343069	0.14819872621816313	0.08182963556177145	0.22818772527525463	0.9222222222222223	0
100	-4289.234241518469	-3639.6597968358906	-649.5744446825785	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	0.0007820011839287258	0.1739133852753488	0.03288651034842336	0.15756856283975096	0.0746661310856096	0.24724403624615418	0.9	0
110	-4290.469077245599	-3639.7730138715083	-650.6960633740903	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.0008855069008074898	0.1829275303607547	0.041414565870143305	0.16287677752294255	0.0675614661615593	0.2579569955769039	0.9090909090909091	0
120	-4291.709986422283	-3639.5369531880083	-652.1730332342744	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	0.00017745709593683278	0.19411308509094982	0.04004273012074638	0.15589907845276516	0.07933605027132398	0.2766154214649504	0.9166666666666666	0
130	-4291.8196536626665	-3639.388493559257	-652.4311601034093	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	0.001500859124397002	0.19613076920767436	0.04297156735849196	0.16624805547673097	0.07963694466936595	0.2704985072352769	0.9	0
140	-4292.602724980856	-3639.30889141409	-653.293833566766	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	0.0007798187966810944	0.20256147477163025	0.05780983788412842	0.17543588012529968	0.06104685573339814	0.27213674569317275	0.9071428571428571	0
150	-4293.508536104727	-3639.675271354222	-653.8332647505051	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	0.000629297280361794	0.20700762077523588	0.04293974657619739	0.17333244756262794	0.05607059799339626	0.2702795681801616	0.9066666666666666	0
160	-4294.383516177551	-3639.855201220329	-654.5283149572222	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	0.001015295766242811	0.21164047490157062	0.04673346099421234	0.17533474263790993	0.05387202723727516	0.27893019471166347	0.88125	0
