it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	alpha_0	alpha_1	alpha_2	acc_prob	mcmc_id
100	-4293.637390603647	-3643.765025259685	-649.8723653439622	0.19920494699646643	0.2	0.0	1.0	0.0	0.0	0.0	0.008960282940988717	0.15785433388701264	0.03239382731197454	0.18023659188921928	0.03582307199230331	0.1582765406848488	0.00871344135395912	0.027330706096418897	0.06817669120028305	0.54	0
200	-4298.8156145927405	-3643.278060787229	-655.5375538055109	0.2769434628975265	0.276	0.0	0.0	0.00044169611307420494	0.25662544169611307	0.7429328621908127	0.01248205450637208	0.206291815138527	-0.006430277431511944	0.23912334565383278	0.04745666704570445	0.23554303982862898	0.0234209599557198	0.034990909602443374	0.013841333056489283	0.585	0
300	-4305.421589091355	-3644.467942513056	-660.9536465782985	0.20008833922261485	0.2	0.0	0.0	1.0	0.0	0.0	0.0115762380762752	0.24220456954727676	-0.011065021784724113	0.2435422063598223	0.07020370485093314	0.2830869584624503	0.012595114155536588	0.05071676534067186	0.002832816450756021	0.6033333333333334	0
400	-4311.340984648001	-3644.0687750351326	-667.2722096128679	0.20008833922261485	0.2	0.0	0.0	1.0	0.0	0.0	0.012073885667547931	0.2745713891140939	-0.016232765805742774	0.28096633382629765	0.08556801574648505	0.33174156300651886	0.04883026854275441	0.010633287154027341	0.018386741717112555	0.6125	0
500	-4319.058671613465	-3644.3096886110034	-674.7489830024616	0.20008833922261485	0.2	0.0	0.0	1.0	0.0	0.0	0.003501287604843814	0.3053588295047294	-0.022072221439085576	0.2960033884305478	-0.010960373093356903	0.4100539324255299	0.08174434583352025	0.03307446194341134	0.00708482197430425	0.632	0
600	-4321.074832257752	-3643.9911779929835	-677.0836542647688	0.20008833922261485	0.2	0.0	0.0	1.0	0.0	0.0	0.002658554646903651	0.31947511999433986	-0.02352124032836573	0.31578570566089614	-0.026327598068408217	0.36906495487482904	0.08835164737412776	0.018765113918354347	0.0031350325851511145	0.61	0
700	-4326.220711246158	-3643.7750567437633	-682.4456545023945	0.20008833922261485	0.2	0.0	0.0	1.0	0.0	0.0	0.00567358694932595	0.338747527626014	-0.03986372170363905	0.3629397689470304	-0.0371029317458695	0.3917220725111008	0.012468055639597422	0.06087691172659863	0.06408487440414945	0.6085714285714285	0
800	-4338.307908363369	-3643.8060469732172	-694.501861390152	0.20008833922261485	0.2	0.0	0.0	1.0	0.0	0.0	0.004635242750531412	0.36502949042182836	-0.038694091442106206	0.3614285211675401	-0.02716178103710308	0.4349742813214635	0.024606910124342747	0.17040072987968918	0.18868257653235015	0.615	0
900	-4334.747139602408	-3643.7588220609514	-690.9883175414566	0.20053003533568906	0.204	0.0	0.00044169611307420494	0.9995583038869258	0.0	0.0	0.01142444453888665	0.3843727226704548	-0.04036707284519923	0.36338648442584653	-0.03864343935290384	0.41927558215726646	0.0038557143134431288	0.00543874496980711	0.023276197682674214	0.6155555555555555	0
1000	-4343.192024433525	-3643.6282395442327	-699.5637848892928	0.20008833922261485	0.2	0.0	0.0	1.0	0.0	0.0	0.009425213330929383	0.4028880937215893	-0.07218159032664356	0.40562585385763994	0.0053124084863195396	0.4301159906778513	0.0391065860177216	0.12467331986888855	0.013864155590119352	0.618	0
1100	-4349.274170565182	-3643.6884217843863	-705.5857487807958	0.19920494699646643	0.2	0.0	1.0	0.0	0.0	0.0	0.0063898904291014805	0.41893509906473725	-0.10195319573561998	0.45270360273431626	-0.0111113675484234	0.4366123593746943	0.10106813918723968	0.013790645441145766	0.11242080653442298	0.6263636363636363	0
1200	-4349.815234186166	-3643.767887259327	-706.0473469268388	0.20229681978798586	0.2	0.9907243816254417	0.0	0.006183745583038869	0.0030918727915194345	0.0	0.0026114781517333255	0.4305073556486167	-0.12109758671171153	0.4604695862365206	-0.04127261273221574	0.5209710265321129	0.022173549598749065	0.0019291671019024525	0.035142870077208316	0.6291666666666667	0
1300	-4355.703844179314	-3643.844525281299	-711.8593188980151	0.19964664310954064	0.2	0.0	0.0	0.0	1.0	0.0	0.005355383417045646	0.4392749390605926	-0.12074387523150328	0.44742904184827503	-0.08528965965095675	0.5202716387591385	0.049798086451167775	0.03308426504329085	0.1255044115850678	0.6276923076923077	0
1400	-4357.213490762836	-3643.7295103069337	-713.4839804559025	0.19964664310954064	0.2	0.0	0.0	0.0	1.0	0.0	0.0023064748659775577	0.45176128182204783	-0.11787932715937455	0.4960863344029431	-0.09931307593287617	0.5470293942361595	0.003154604653918945	0.04680708591860046	0.032022417544886994	0.6314285714285715	0
1500	-4359.381358425755	-3644.079315587799	-715.3020428379562	0.19964664310954064	0.2	0.0	0.0	0.0	1.0	0.0	0.004084204729605873	0.45233923945411453	-0.09764477223655099	0.5048358853686364	-0.13106384377255076	0.5823661992684227	0.05613910044251613	0.06011180767957881	0.009189844364290402	0.6306666666666667	0
