it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2
100	-4290.580851990406	-3640.2266391772755	-650.3542128131303	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.002191026902000578	0.18105827363567725	-0.0069541724668766534	0.15616524537857915	0.06489628834140611	0.2465869232952264
200	-4296.781675855877	-3640.8766375822697	-655.905038273608	0.19938107869142352	0.2	0.0	0.0	0.0	0.0	1.0	-0.003220247991790151	0.2214292341022923	-0.03326315560770444	0.1751184277435983	0.024630219538735613	0.2859653009750115
300	-4304.262959345615	-3640.0631035901065	-664.199855755508	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	0.0029875883660638895	0.2706809849673917	-0.047233975070036106	0.19154220532164068	-0.015173536612449055	0.3366104328483039
400	-4310.129086726811	-3639.5875997620874	-670.5414869647234	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	0.0023767538476418934	0.30151908501096447	-0.05775738613695941	0.24091593766733682	-0.00533474755696796	0.3784322014651646
500	-4318.3586165695915	-3640.326583236141	-678.0320333334505	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.005180619266831624	0.3355598746043075	-0.04013053537863273	0.22352842906396586	-0.024070568773653968	0.4377692184542617
600	-4321.744898217684	-3639.8130211677485	-681.9318770499351	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.008846142293123744	0.3521067684429187	-0.026074018235886398	0.22969969240831542	0.04547718860624211	0.4531843224329121
700	-4327.984187902126	-3640.303393862131	-687.6807940399954	0.10433244916003537	0.116	0.10389036251105217	0.0	0.8961096374889478	0.0	0.0	-0.012030800113596862	0.3745352658184173	-0.04775375078676191	0.26227713956162313	0.04515823960205422	0.4748682238731574
800	-4332.6922149029315	-3640.88220139298	-691.8100135099519	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.015097184373549757	0.3914458783124514	-0.041899213920414236	0.2597129914292392	0.03360690436546706	0.47145686171335033
900	-4334.9492056480185	-3638.8438332388914	-696.1053724091272	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.01332034803239073	0.4058410761644075	-0.04248550203780663	0.33538371130040634	0.01011109280498121	0.4764872114702772
1000	-4343.6866057709885	-3640.548557925934	-703.1380478450546	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.018342808523661724	0.42649744169762427	-0.06976905702652672	0.3676522502579038	0.016518142169561167	0.5621834690451052
1100	-4351.990323034514	-3640.4882434061356	-711.5020796283791	0.20114942528735633	0.2	0.0	1.0	0.0	0.0	0.0	-0.013628135475667382	0.45027262681113717	-0.059006351735566655	0.42312372456652736	-0.029633724584334605	0.6388789288256537
1200	-4358.456506091807	-3640.538509126681	-717.9179969651252	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.011005959117414765	0.4712162039916741	-0.05816327766273654	0.4261134069691416	-0.032897518378256184	0.6500313355559675
1300	-4362.126414492601	-3640.548557925934	-721.5778565666674	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.00886489816820437	0.4848848515468733	-0.04867199213865537	0.427009949619632	-0.07393281326479777	0.6124723600791747
1400	-4371.014146631954	-3640.548557925934	-730.4655887060201	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.007818895114156826	0.5129813440880153	-0.044966145671928644	0.4308973639335999	-0.061438510688229524	0.6016243088700454
1500	-4378.713999412945	-3640.548557925934	-738.165441487011	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.013057720030733175	0.5367724323649742	-0.01394024730741855	0.4486589897022951	-0.04230239862652036	0.5647648508636239
1600	-4378.211520701779	-3633.8161962530567	-744.3953244487219	0.19938107869142352	0.2	0.0	0.0	0.0	0.0	1.0	-0.007106004215607051	0.553979060953401	-0.010561430722175707	0.47534404664300645	-0.019461734614135702	0.5595214259715483
1700	-4382.754313710214	-3631.83240728196	-750.9219064282541	0.19938107869142352	0.2	0.0	0.0	0.0	0.0	1.0	-0.014594482547954417	0.5700753621486642	-0.047030818976972165	0.48620791239147054	0.008078521212277338	0.5932644464028557
1800	-4377.22569914942	-3625.747725242708	-751.477973906712	0.3912466843501326	0.392	0.7745358090185677	0.0	0.0	0.0	0.22546419098143236	-0.02126054007288011	0.5721289052482178	-0.04221537772298842	0.4991404747239586	-0.025297237493384382	0.5629191763146568
1900	-4376.2103994090385	-3618.1179906962802	-758.0924087127585	0.30238726790450926	0.28	0.5415561450044208	0.0	0.0	0.0	0.45844385499557916	-0.031243897879016738	0.5846321192190701	-0.04177731628327134	0.5549302441641116	0.03284293473098435	0.632573755559054
2000	-4372.636761812487	-3606.4159499597336	-766.2208118527536	0.20601237842617154	0.2	0.3032714412024757	0.0	0.0	0.0	0.6967285587975243	-0.04042010661525881	0.6011101419804926	-0.06045730127525577	0.5778403578269977	-0.0188178733223354	0.7086750875821632
2100	-4366.556702328198	-3592.800502143974	-773.7562001842248	0.20557029177718833	0.2	0.27320954907161804	0.0	0.0	0.0	0.726790450928382	-0.04072632249495568	0.6191851401135089	-0.08819672022760114	0.5823047175490657	-0.047745361284270676	0.7239583065318174
2200	-4345.6665148656575	-3566.6939507713564	-778.972564094301	0.28116710875331563	0.26	0.4982316534040672	0.0	0.0	0.0	0.5017683465959328	-0.041539683613665015	0.626889298702711	-0.09101477816947207	0.6365244695983432	-0.021958262962960953	0.7919768820663723
2300	-4336.845020190381	-3553.3896443951153	-783.4553757952651	0.20778072502210435	0.2	0.3616268788682582	0.0	0.0	0.0	0.6383731211317418	-0.03878414813629807	0.637461449635049	-0.09363594276840875	0.620929613107645	-3.509951130852951e-05	0.8162747981693407
