it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
100	-15882.381383901624	-4145.605262264193	-11736.776121637431	0.05015082956259427	0.048109965635738834	0.0	0.0	1.0	0.0	0.0	-0.0015416175927796265	0.10240649955414173	0.00013795118109311932	0.10153199097022175	-0.0041777520005353164	0.10328500771655412	-0.011772894240475984	0.10870294186234454	0.65	0
200	-15792.8436674903	-4053.5508288293217	-11739.292838660978	0.05015082956259427	0.048109965635738834	0.0	0.0	1.0	0.0	0.0	-0.0008552963452286308	0.10412660561509414	0.000281554020642189	0.10359811507738445	-0.004648158578265578	0.10463491168460319	-0.013878926138911264	0.11895607347577156	0.685	0
300	-15751.213221598278	-4009.769900824337	-11741.44332077394	0.05015082956259427	0.048109965635738834	0.0	0.0	1.0	0.0	0.0	-0.00116524820154278	0.10548950619947627	0.0005217776527287789	0.1053543690670818	-0.004555883811180481	0.10594990951087052	-0.011872996362646611	0.1280943388502517	0.67	0
400	-15700.652793853153	-3956.9364985258203	-11743.716295327333	0.05015082956259427	0.048109965635738834	0.0	0.0	1.0	0.0	0.0	-0.0007511142964224715	0.10679223952557171	0.0006636204215534807	0.10739702707770196	-0.004474693153509166	0.10714283660547982	-0.013593269780206496	0.1334419222273343	0.68	0
500	-15656.681169306923	-3910.42095490174	-11746.260214405183	0.05015082956259427	0.048109965635738834	0.0	0.0	1.0	0.0	0.0	-0.0008739558271110571	0.10866516979993313	0.0009361519174026962	0.1090969488783407	-0.004317666743697114	0.10933477587318133	-0.015118005525410766	0.1380382496393106	0.692	0
600	-15626.149528005273	-3877.1354468653026	-11749.01408113997	0.05015082956259427	0.048109965635738834	0.0	0.0	1.0	0.0	0.0	-0.0008336535262755858	0.11065793374924045	0.0013713185711797546	0.11089307776814937	-0.0035299857498785592	0.11145821635808587	-0.020716632039491718	0.14496138330256583	0.685	0
700	-15609.484620198818	-3857.839069530907	-11751.64555066791	0.029034690799396683	0.020618556701030927	0.0	0.0	0.5263157894736842	0.0	0.029166666666666667	-0.0008624538253006037	0.11277768946206639	0.0014965019786429069	0.11256646403686324	-0.0033629497361476177	0.11230948451997814	-0.02318771446703316	0.1524024083998893	0.6942857142857143	0
800	-15603.791217973996	-3849.9630489667065	-11753.828169007289	0.033559577677224735	0.020618556701030927	0.0	0.0	0.6541353383458647	0.0	0.008333333333333333	-0.0009433154176596072	0.11425297622763807	0.0015543800018755546	0.1139211162664315	-0.0028430536733849883	0.11413532262522881	-0.029274164018688008	0.1585028426866247	0.7075	0
900	-15592.78268228759	-3836.4348952969012	-11756.34778699069	0.01847662141779789	0.013745704467353952	0.0	0.0	0.2706766917293233	0.0	0.05416666666666667	-0.0013593778075533514	0.1155412395315728	0.0018899778482414486	0.11571129421570296	-0.0028312593572536204	0.11596751180932342	-0.026750124693042637	0.17270390977053196	0.7066666666666667	0
1000	-15584.233693944032	-3825.9215370356087	-11758.312156908423	0.0222473604826546	0.010309278350515464	0.0	0.0	0.39849624060150374	0.0	0.025	-0.0016342860402829564	0.11674923414128925	0.001814047129081887	0.11716538132899737	-0.0030252673320967935	0.11711957374862449	-0.022201002718269858	0.17493733371397785	0.708	0
