it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
100	-5497.135451588787	-4268.229343775232	-1228.9061078135544	0.35935143288084465	0.36082474226804123	0.979381443298969	0.0	0.0	0.0	0.0125	-0.0008492188107173718	0.10067526392792556	0.010301217297516978	0.10407611248348893	-0.005328045922210325	0.07740531129131087	0.99	0
200	-5497.48279494296	-4268.229343775232	-1229.2534511677275	0.33521870286576166	0.3402061855670103	0.9082474226804124	0.0	0.0	0.0	0.03333333333333333	-0.00018776414213602592	0.10311036960229368	0.009367439955095805	0.10758780943391678	-0.0027571623287047987	0.07938772183579533	0.99	0
300	-5497.823215119256	-4268.229343775232	-1229.5938713440237	0.35784313725490197	0.3539518900343643	0.9721649484536082	0.0	0.0	0.0	0.025	-0.0005520364877075903	0.10553635985755837	0.009735579661650742	0.10953912812798149	-0.002148500326843699	0.08520644394512267	0.9933333333333333	0
400	-5498.107925126213	-4268.229343775232	-1229.8785813509808	0.07805429864253394	0.07216494845360824	0.05670103092783505	0.0	0.0	0.0	0.6333333333333333	-0.00034931188810785277	0.1079803660883431	0.010849297575922295	0.11035530634748768	-0.006509636465572687	0.0808298746852675	0.99	0
500	-5498.352152715126	-4268.229343775232	-1230.1228089398942	0.09917043740573152	0.0859106529209622	0.0711340206185567	0.011049723756906077	0.0	0.0	0.7833333333333333	-0.0002720152676523249	0.10995664179611783	0.00738660712951969	0.11083185313788925	-0.011393545126314792	0.0821214408157641	0.992	0
600	-5498.783810426228	-4268.229343775232	-1230.5544666509954	0.3125942684766214	0.2852233676975945	0.6742268041237114	0.0	0.0	0.0039164490861618795	0.7166666666666667	-0.0006645517053006301	0.1130695122967199	0.006149201652396246	0.11237921013570759	-0.008662600656988125	0.08801525953274825	0.9933333333333333	0
700	-5499.157018720694	-4268.229343775232	-1230.9276749454616	0.3597285067873303	0.3402061855670103	0.9164948453608247	0.016574585635359115	0.0	0.015665796344647518	0.18333333333333332	-0.0010292350122305103	0.11566019984743883	0.0059056785595275095	0.11558214773785239	-0.011812143865882354	0.08299937356792302	0.9928571428571429	0
800	-5499.431174164348	-4268.229343775232	-1231.2018303891155	0.3570889894419306	0.3333333333333333	0.6061855670103092	0.007366482504604052	0.0	0.38511749347258484	0.25	-0.001176210831776628	0.11725826034118354	0.007154650063288917	0.11841330672215776	-0.01714183729883481	0.08329904463403333	0.99375	0
900	-5499.709892194559	-4268.229343775232	-1231.4805484193264	0.39328808446455504	0.3333333333333333	0.8216494845360824	0.027624309392265192	0.0	0.16318537859007834	0.44166666666666665	-0.0006739144174203122	0.1192490249833171	0.009472122988481366	0.11908273432420521	-0.016570826443449614	0.0846567545376037	0.9944444444444445	0
1000	-5500.048701960808	-4268.229343775232	-1231.8193581855755	0.36048265460030166	0.32646048109965636	0.7835051546391752	0.003683241252302026	0.0	0.0	0.8083333333333333	-0.0008585842199016517	0.12148178467586686	0.007922585754280011	0.1214933259840594	-0.021659716390351837	0.0818334512760829	0.995	0
