it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
100	-6116.197556628298	-2521.1263859082724	-3595.0711707200257	0.385369532428356	0.39862542955326463	0.545360824742268	0.029465930018416207	0.0	0.6227154046997389	0.0	-0.00131512534136284	0.10210114703115405	-0.0013926232656368243	0.10431987938318345	-0.018497108643255534	0.0970823289256626	0.73	0
200	-6101.241846894012	-2505.5583214120606	-3595.6835254819516	0.38122171945701355	0.3848797250859107	0.8515463917525773	0.003683241252302026	0.0	0.23890339425587467	0.0	-0.0008183423847372441	0.10358758212592639	-0.000451499326567224	0.10615569832361872	-0.02186727163868452	0.0970760382506189	0.75	0
300	-6087.105831112379	-2490.807494127903	-3596.298336984476	0.3706636500754148	0.35738831615120276	0.8989690721649485	0.001841620626151013	0.0	0.14360313315926893	0.0	-0.0006325046768257493	0.10519163828733168	-0.00022906803304714618	0.10705228067258209	-0.023645705471959398	0.0997975774998562	0.7533333333333333	0
400	-6078.264616135069	-2481.4846837769182	-3596.779932358151	0.416289592760181	0.41580756013745707	0.6319587628865979	0.0	0.0	0.6409921671018277	0.0	-0.00037652255463959457	0.10642888975100528	-0.00022175460233553952	0.1079969589824516	-0.02434683748717922	0.0990062072343348	0.7675	0
500	-6060.009810066324	-2462.3199472253114	-3597.689862841012	0.35331825037707393	0.36082474226804123	0.777319587628866	0.0	0.007518796992481203	0.23759791122715404	0.0	-0.0002535744229390776	0.10855944922782236	-0.0011810798736754783	0.1103579445196765	-0.020389315985537535	0.10245792038559104	0.77	0
600	-6043.1165452741325	-2444.643824771406	-3598.4727205027266	0.3548265460030166	0.3436426116838488	0.7309278350515463	0.001841620626151013	0.015037593984962405	0.2989556135770235	0.0	-0.0001783538352792767	0.11047516449966305	-0.0014724908841867864	0.11194250511491755	-0.020867062904391522	0.10182077365957651	0.7583333333333333	0
700	-6027.424331650556	-2428.320410429147	-3599.1039212214096	0.2982654600301659	0.32989690721649484	0.40103092783505156	0.3370165745856354	0.13533834586466165	0.26240208877284593	0.0	-0.00035216807400071656	0.11178707561529684	-0.0017831689795888555	0.11389159540040183	-0.021607719195632546	0.10671903252549514	0.7585714285714286	0
800	-6013.435871802612	-2413.356319554531	-3600.079552248081	0.3808446455505279	0.3642611683848797	0.7144329896907217	0.26887661141804786	0.06015037593984962	0.06266318537859007	0.4791666666666667	-0.00039667196467062254	0.11404435577924522	-0.0024559107517518842	0.11586919898282017	-0.019882794707214567	0.10938057778827262	0.75875	0
900	-5991.5196243626015	-2390.6910460016184	-3600.8285783609836	0.417420814479638	0.40893470790378006	0.643298969072165	0.06077348066298342	0.0	0.4386422976501306	0.475	-0.000393265805798687	0.11574406422816051	-0.0023642658282877352	0.11743978945538683	-0.021905249359746616	0.11018062724163084	0.7555555555555555	0
1000	-5966.61327158801	-2365.282892774425	-3601.3303788135854	0.4325037707390649	0.39862542955326463	0.6206185567010309	0.09944751381215469	0.13533834586466165	0.4151436031331593	0.6458333333333334	4.060912741185071e-06	0.11676007657583319	-0.0029052764286947724	0.11905006546542458	-0.01708394127667243	0.11179577775368582	0.751	0
1100	-5944.077196854119	-2341.9080544724266	-3602.1691423816933	0.38800904977375567	0.36082474226804123	0.7288659793814433	0.13443830570902393	0.015037593984962405	0.08224543080939947	0.7666666666666667	0.00036463380839405493	0.11892669326818488	-0.0024785853920525603	0.11896792695013154	-0.019376637160108637	0.11458247710667022	0.75	0
1200	-5909.042850252899	-2306.018466929019	-3603.024383323881	0.3940422322775264	0.3642611683848797	0.6030927835051546	0.15653775322283608	0.20300751879699247	0.21018276762402088	0.7791666666666667	0.00040987726942620184	0.12068270207791858	-0.0017816182889811394	0.12120536925979769	-0.01704284271775591	0.11723330674129859	0.7483333333333333	0
1300	-5868.03540466439	-2264.2097212680123	-3603.8256833963774	0.4577677224736048	0.4329896907216495	0.8505154639175257	0.0	0.0	0.26109660574412535	0.7875	0.0003818967057524035	0.12248688619202953	-0.001191810050548544	0.12200584401675567	-0.017211090629784733	0.12266590337811561	0.7476923076923077	0
1400	-5849.6480659280405	-2245.2337851079924	-3604.4142808200486	0.45098039215686275	0.44329896907216493	0.7412371134020619	0.0	0.007518796992481203	0.3772845953002611	0.7791666666666667	0.00021289746714135848	0.12376011561038709	-0.0011076420608331172	0.12272322169291186	-0.01886690293692422	0.12695072309136257	0.7428571428571429	0
1500	-5809.604178734757	-2204.330898450791	-3605.273280283966	0.3065610859728507	0.32989690721649484	0.3082474226804124	0.0	0.39097744360902253	0.3563968668407311	0.7875	-1.0027942428745575e-05	0.12558439552273057	-0.0023871932373976646	0.12380247821540676	-0.01920368093246897	0.13320770002194582	0.7473333333333333	0
1600	-5795.441421507303	-2189.504805898318	-3605.936615608985	0.4611613876319759	0.43986254295532645	0.7525773195876289	0.0055248618784530384	0.06766917293233082	0.38511749347258484	0.775	-0.0001711772762021702	0.12702058195798688	-0.0031387629013277037	0.12482243768537522	-0.017997219638100824	0.1331133188285434	0.74625	0
1700	-5780.830978609174	-2174.176471230649	-3606.6545073785246	0.43778280542986425	0.41924398625429554	0.7938144329896907	0.0570902394106814	0.09022556390977443	0.20234986945169714	0.8041666666666667	-0.00014305077539857004	0.12840593450827056	-0.0032134724170941155	0.12655673464799327	-0.016807560669351365	0.13531320034334982	0.7476470588235294	0
1800	-5763.213344584069	-2155.93633673817	-3607.277007845899	0.4238310708898944	0.39862542955326463	0.5690721649484536	0.10497237569060773	0.2556390977443609	0.38903394255874674	0.7625	-0.00019973650433812218	0.12969766247734774	-0.003261820425366464	0.12728276772696684	-0.015666037469022457	0.13937678227103198	0.745	0
1900	-5749.686294958227	-2141.49796431117	-3608.1883306470572	0.2911010558069382	0.3127147766323024	0.2381443298969072	0.13627992633517497	0.518796992481203	0.27284595300261094	0.7875	0.00019673693336634795	0.13129065249600166	-0.003293944916685733	0.1301502572998698	-0.012760975644267435	0.14198583731272774	0.7457894736842106	0
2000	-5728.196092615812	-2119.3450590786438	-3608.851033537168	0.38235294117647056	0.3642611683848797	0.43402061855670104	0.2541436464088398	0.3458646616541353	0.29112271540469975	0.775	0.0008870601280415969	0.13235730500983703	-0.0017416522198506264	0.13220068008207256	-0.017882180514392613	0.14791285893851802	0.7475	0
2100	-5720.66582767255	-2111.0102660456982	-3609.6555616268515	0.4698340874811463	0.45017182130584193	0.7453608247422681	0.10865561694290976	0.06015037593984962	0.3524804177545692	0.775	0.00032856486445526886	0.13388319051861483	-0.0003015532505169793	0.1338505072954896	-0.018664296350789988	0.15005876235169452	0.7457142857142857	0
2200	-5715.247190332466	-2104.9136669762356	-3610.3335233562298	0.3940422322775264	0.35738831615120276	0.45979381443298967	0.058931860036832415	0.3609022556390977	0.4490861618798956	0.7291666666666666	0.0003343912134578722	0.13517144340435697	0.0004462598989120714	0.135289173078575	-0.018790768981412596	0.1500767682533547	0.7472727272727273	0
2300	-5709.4102153579	-2098.4975449573803	-3610.9126704005193	0.2631975867269985	0.2611683848797251	0.10103092783505155	0.04604051565377532	0.5639097744360902	0.40992167101827676	0.775	-5.119990294327651e-05	0.13636732417128436	0.0005580203123602844	0.13580850140654946	-0.018704779025928667	0.15154548250963187	0.7460869565217392	0
2400	-5705.077459949596	-2093.2289054553985	-3611.8485544941973	0.3031674208144796	0.3127147766323024	0.2443298969072165	0.03130755064456722	0.518796992481203	0.3825065274151436	0.7833333333333333	3.0471224670449278e-06	0.1379286871764908	-0.0008811403120034499	0.13864824656880406	-0.016390269763146864	0.15288003598336672	0.7508333333333334	0
2500	-5700.873008129445	-2088.3855126610606	-3612.487495468384	0.2447209653092006	0.24054982817869416	0.016494845360824743	0.055248618784530384	0.6992481203007519	0.42689295039164493	0.7625	0.00021640148257608274	0.13920153499034738	-0.0005733756464596235	0.13949297210541778	-0.0165197282199102	0.15248191998621857	0.7516	0
2600	-5687.016066210306	-2074.2112349248137	-3612.804831285492	0.5026395173453997	0.4639175257731959	0.8175257731958763	0.03683241252302026	0.03007518796992481	0.43994778067885115	0.7458333333333333	0.0009374166736687399	0.1396903926140083	-0.0009462327254959661	0.1403571046598603	-0.014734822618393451	0.1555718015912903	0.7503846153846154	0
2700	-5672.011017047515	-2058.6362553123995	-3613.374761735116	0.3235294117647059	0.3230240549828179	0.19175257731958764	0.23941068139963168	0.47368421052631576	0.3877284595300261	0.7583333333333333	0.001219885646817924	0.14061284871110016	0.0012872191283412686	0.14226274461160843	-0.017736969482883214	0.15373894221367518	0.7555555555555555	0
2800	-5656.971509479712	-2042.8709645652661	-3614.1005449144454	0.4845399698340875	0.44673539518900346	0.6711340206185566	0.39042357274401474	0.06015037593984962	0.3002610966057441	0.7666666666666667	0.0014349127275796786	0.14161323852088337	0.0011068343127989514	0.1451314113042065	-0.018546703895179917	0.15625992571332806	0.7525	0
2900	-5654.209288978898	-2039.3025183317645	-3614.906770647134	0.5105580693815988	0.4948453608247423	0.756701030927835	0.2154696132596685	0.0	0.42036553524804177	0.7541666666666667	0.0016303973208376375	0.14324240346590011	0.0019718309566261172	0.14566679702397303	-0.015565579583297868	0.15734246684218325	0.7493103448275862	0
3000	-5647.45181477687	-2031.81882814044	-3615.632986636431	0.44306184012066363	0.4020618556701031	0.5422680412371134	0.30755064456721914	0.2857142857142857	0.3381201044386423	0.7708333333333334	0.0022450112277602775	0.1447087449954233	0.0016781385381272095	0.14613018286516477	-0.013028112804461594	0.15733079602580555	0.7493333333333333	0
3100	-5646.696423517127	-2030.2779252965395	-3616.4184982205875	0.38235294117647056	0.35051546391752575	0.44329896907216493	0.16206261510128914	0.46616541353383456	0.32506527415143605	0.7708333333333334	0.002523190030776873	0.14629813100934785	0.000527301312726848	0.14613296613729118	-0.013383885890355001	0.16163956206748276	0.7483870967741936	0
3200	-5646.125455942651	-2028.9177477679127	-3617.207708174738	0.4238310708898944	0.3917525773195876	0.5288659793814433	0.2283609576427256	0.39097744360902253	0.3276762402088773	0.7666666666666667	0.0026201772963575037	0.14765389010790167	-0.00021399527663540103	0.14732190640046885	-0.011129072403640488	0.16646337154514887	0.74625	0
3300	-5639.2111820179925	-2021.1335995347104	-3618.0775824832826	0.48001508295625944	0.436426116838488	0.6762886597938145	0.2596685082872928	0.15037593984962405	0.35509138381201044	0.7666666666666667	0.002632274699739687	0.1490698209337634	0.0008273881498974353	0.14912748238725435	-0.012094598813754137	0.1697721697833628	0.7451515151515151	0
3400	-5630.683727196866	-2012.2449062629023	-3618.4388209339636	0.44984917043740574	0.41580756013745707	0.5608247422680412	0.3370165745856354	0.2857142857142857	0.32114882506527415	0.7583333333333333	0.0029350523585611097	0.14960140320538814	-0.0002638054604575387	0.15024248179301616	-0.00905053686820407	0.17012021618794784	0.7444117647058823	0
3500	-5631.994796428244	-2012.7519106132036	-3619.2428858150406	0.42194570135746606	0.41580756013745707	0.5020618556701031	0.292817679558011	0.3609022556390977	0.3093994778067885	0.7833333333333333	0.0029802960930854997	0.15084038485745868	-0.0004824227648422737	0.15207207565308475	-0.010316086256689868	0.17407195788538812	0.742	0
3600	-5629.225854402892	-2009.383732117286	-3619.842122285606	0.44607843137254904	0.422680412371134	0.5670103092783505	0.34806629834254144	0.2631578947368421	0.28067885117493474	0.8083333333333333	0.003001457922122167	0.15198847913083308	0.0001637477133299936	0.1522189390697583	-0.012461421933155675	0.17649427007593876	0.7386111111111111	0
3700	-5623.099768437034	-2002.5516614252642	-3620.54810701177	0.4815233785822021	0.46735395189003437	0.6113402061855671	0.30939226519337015	0.22556390977443608	0.391644908616188	0.775	0.0031573612272853273	0.15306619550992057	0.0014625292004318503	0.15413352592264645	-0.016747352413184327	0.17559783091277584	0.7367567567567568	0
3800	-5627.514921951026	-2006.2059645179502	-3621.308957433075	0.4479638009049774	0.40893470790378006	0.545360824742268	0.2596685082872928	0.3458646616541353	0.3825065274151436	0.7458333333333333	0.0030484053704252704	0.1542505414427269	0.0012721349652435193	0.15596265187321645	-0.012813380296168818	0.17619108078762402	0.7360526315789474	0
3900	-5629.974652565161	-2007.8484305576708	-3622.1262220074896	0.45852187028657615	0.41580756013745707	0.5762886597938144	0.13627992633517497	0.3458646616541353	0.46344647519582244	0.7583333333333333	0.003094365658592749	0.15547517528313332	0.0017959581668736647	0.1581694940966703	-0.014104720107233135	0.1753966356481179	0.735897435897436	0
4000	-5625.347067622991	-2002.3477412882437	-3622.9993263347474	0.4660633484162896	0.4570446735395189	0.5927835051546392	0.35174953959484345	0.24812030075187969	0.3185378590078329	0.8041666666666667	0.002928479456878516	0.15690366945571044	0.0016728280147992	0.16003184750693253	-0.013820162268067253	0.17244980218746173	0.7355	0
