it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
100	-15983.443061661837	-3149.5007223648504	-12833.942339296987	0.8985671191553545	0.8762886597938144	0.9484536082474226	0.8692449355432781	0.8270676691729323	0.8877284595300261	0.8375	-0.021951642900756144	0.449590624286287	-0.017630824543406427	0.36187228046037406	-0.0055437909373709775	0.5112561769647043	-0.2583403009580873	1.117084632132108	0.27	0
200	-15873.332466995898	-3040.3193863245815	-12833.013080671317	0.8914027149321267	0.8625429553264605	0.9474226804123711	0.860036832412523	0.8120300751879699	0.8825065274151436	0.8083333333333333	-0.022081997341072135	0.44943198135483714	-0.017678298282855612	0.36185475485670504	-0.005626337672301102	0.5107005331840037	-0.25768290826512624	1.1155659366404382	0.24	0
300	-15813.827064182213	-2980.3458421061227	-12833.48122207609	0.8853695324283559	0.865979381443299	0.9474226804123711	0.848987108655617	0.7969924812030075	0.8681462140992167	0.8208333333333333	-0.022166918850497465	0.44953240005561385	-0.017748152368850113	0.3619754216090797	-0.00548054024167331	0.5107865383290103	-0.25720072453694987	1.114718344204327	0.19666666666666666	0
400	-15746.688226710703	-2912.766179336039	-12833.922047374665	0.8838612368024132	0.852233676975945	0.9463917525773196	0.852670349907919	0.7368421052631579	0.8694516971279374	0.8291666666666667	-0.022035839835573105	0.4497266360101567	-0.01756548710579724	0.36192388927915037	-0.005640752953379182	0.5110813260462764	-0.2586167984768202	1.1138011212166812	0.1725	0
500	-15689.571793516245	-2854.9278954858887	-12834.643898030356	0.8823529411764706	0.845360824742268	0.9360824742268041	0.8453038674033149	0.7969924812030075	0.8759791122715405	0.8166666666666667	-0.02216688939069827	0.4497884704183791	-0.017577037653505746	0.3621943543224968	-0.005737129299576723	0.5111495268957483	-0.26110010533119277	1.112545708964723	0.162	0
600	-15645.96806801111	-2811.537423468157	-12834.430644542954	0.8846153846153846	0.8350515463917526	0.931958762886598	0.8471454880294659	0.7669172932330827	0.8877284595300261	0.8333333333333334	-0.022367002778217765	0.44981091498168607	-0.017723058021341026	0.3621185170050955	-0.005665095298862779	0.5109936605865504	-0.2615162315645447	1.1120305951794283	0.14833333333333334	0
700	-15628.306791131256	-2793.8111375460144	-12834.495653585242	0.8921568627450981	0.8350515463917526	0.9484536082474226	0.852670349907919	0.7744360902255639	0.8825065274151436	0.85	-0.022255142143620805	0.44994632301613263	-0.017845410977339948	0.36206853388509674	-0.0055082415905968836	0.510847241931494	-0.26284139356476355	1.1111413021059235	0.1357142857142857	0
800	-15601.199467708717	-2766.500187338137	-12834.69928037058	0.8925339366515838	0.8350515463917526	0.9494845360824742	0.848987108655617	0.7819548872180451	0.8929503916449086	0.8208333333333333	-0.02232899465749892	0.4499783267154082	-0.01793801954446302	0.36207381721849086	-0.005191049992237025	0.5107806372168274	-0.2635069055669675	1.1122288741036912	0.12875	0
900	-15550.992993900489	-2716.1357544086045	-12834.857239491885	0.8925339366515838	0.8419243986254296	0.9422680412371134	0.858195211786372	0.7819548872180451	0.8877284595300261	0.8458333333333333	-0.022328163161838315	0.4500521851155388	-0.01785151429126533	0.361998176996403	-0.00536169057635029	0.5109429545542871	-0.2633169814865526	1.1127375428925537	0.12333333333333334	0
1000	-15531.095234721262	-2696.265866296422	-12834.82936842484	0.8917797888386124	0.8591065292096219	0.9350515463917526	0.852670349907919	0.8045112781954887	0.8994778067885117	0.8291666666666667	-0.022216880778547794	0.4500290687238317	-0.017771109521956957	0.3621021541116993	-0.005367058852507153	0.5107943643176208	-0.2641564114536685	1.1117785275929515	0.121	0
1100	-15490.444674491644	-2655.3830637672204	-12835.061610724424	0.8891402714932126	0.8556701030927835	0.9391752577319588	0.8397790055248618	0.8120300751879699	0.8903394255874674	0.8375	-0.02231418731363113	0.45001159275464897	-0.017861237473345167	0.36211209000506883	-0.005661205670806978	0.5109695664567148	-0.26206951790350275	1.1133725147086373	0.11727272727272728	0
1200	-15478.541586590325	-2643.611240475513	-12834.930346114812	0.8929110105580694	0.845360824742268	0.934020618556701	0.856353591160221	0.8195488721804511	0.8981723237597912	0.8333333333333334	-0.022338100486673368	0.44996088055551603	-0.01778799156867525	0.3620888974988238	-0.0053588568939338214	0.511031588609009	-0.26004285725809295	1.1139487692269638	0.1125	0
1300	-15465.175985560836	-2630.39528868487	-12834.780696875965	0.8876319758672699	0.852233676975945	0.9360824742268041	0.8397790055248618	0.7894736842105263	0.8955613577023499	0.8291666666666667	-0.0223212186779282	0.4498662033746124	-0.017880199337152965	0.3621162691167219	-0.005475858722518678	0.5110372656956488	-0.26121457830079114	1.1137538834085967	0.10692307692307693	0
1400	-15452.248688664693	-2617.4847589416236	-12834.763929723069	0.8947963800904978	0.845360824742268	0.9402061855670103	0.8416206261510129	0.7969924812030075	0.9060052219321149	0.85	-0.022205764473316656	0.4498636158059376	-0.017963336819738444	0.36214794853514026	-0.005520907935071487	0.5109913892796658	-0.26240753139687856	1.1130553816671964	0.10285714285714286	0
1500	-15434.767863600284	-2599.7248012565756	-12835.043062343708	0.8944193061840121	0.8487972508591065	0.9360824742268041	0.861878453038674	0.7969924812030075	0.8981723237597912	0.8416666666666667	-0.022197764436293357	0.44999867059321097	-0.017955567400894427	0.36218344730369634	-0.005364330829990006	0.5109842538107665	-0.26178019752736154	1.112134088821924	0.09933333333333333	0
1600	-15402.9926283569	-2567.641963519004	-12835.350664837897	0.8947963800904978	0.8384879725085911	0.9463917525773196	0.860036832412523	0.7593984962406015	0.8955613577023499	0.8375	-0.02225850259401218	0.4500692159721797	-0.017898039566040174	0.36225592982036703	-0.0054435138282135755	0.5109737344401397	-0.26256474466062624	1.1118004640472343	0.0975	0
1700	-15386.933120230988	-2551.9018535106434	-12835.031266720345	0.8978129713423831	0.845360824742268	0.9494845360824742	0.850828729281768	0.8045112781954887	0.8994778067885117	0.8416666666666667	-0.02222513758896501	0.45004767141553115	-0.01793351158629322	0.3622119165838482	-0.005344225664057872	0.5109097938383729	-0.26251093489384786	1.110631240564353	0.09411764705882353	0
1800	-15384.439905862377	-2549.330992496975	-12835.108913365402	0.8940422322775264	0.845360824742268	0.9505154639175257	0.8379373848987108	0.8045112781954887	0.8877284595300261	0.8625	-0.02233284959840379	0.4499889623698883	-0.01789642460982477	0.36229592145840733	-0.005494355409446425	0.5109309762425107	-0.2639146994075815	1.1104317383341897	0.09111111111111111	0
1900	-15367.371534365973	-2531.989740967703	-12835.38179339827	0.8936651583710408	0.8350515463917526	0.9494845360824742	0.8397790055248618	0.8120300751879699	0.891644908616188	0.8416666666666667	-0.022458379894867726	0.45009474071472727	-0.017910341920241307	0.36238893553805823	-0.0058552157428946984	0.5106061486709513	-0.26431343372417376	1.1102788723501356	0.09105263157894737	0
2000	-15356.544711722194	-2521.04188100044	-12835.502830721754	0.8883861236802413	0.8350515463917526	0.9525773195876288	0.8416206261510129	0.7819548872180451	0.8759791122715405	0.8333333333333334	-0.02226437959144938	0.45011276903351	-0.017976282631456737	0.36238361330591945	-0.006141186094611924	0.51080151033032	-0.26486760933260256	1.1099966516387803	0.09	0
2100	-15348.037748368619	-2512.3205998344934	-12835.717148534126	0.8880090497737556	0.8350515463917526	0.9525773195876288	0.8453038674033149	0.7894736842105263	0.8694516971279374	0.8375	-0.022278767811633945	0.45014385137435337	-0.01795758412089893	0.36240773226180456	-0.006238239719602087	0.5108991710369071	-0.264373575684557	1.1103487781588517	0.08619047619047619	0
