instance_name	feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30	feature_31	feature_32	feature_33	feature_34	feature_35	feature_36	feature_37	feature_38	feature_39	feature_40	feature_41	feature_42	feature_43	feature_44	feature_45	feature_46	feature_47	feature_48	feature_49	feature_50	feature_51	feature_52	feature_53	feature_54	feature_55	feature_56	feature_57	feature_58	feature_59	feature_60	feature_61	feature_62	feature_63	feature_64	feature_65	feature_66	feature_67	feature_68	feature_69	feature_70	feature_71	feature_72	feature_73	feature_74	feature_75	feature_76	feature_77	feature_78	feature_79	feature_80	feature_81	feature_82	feature_83	feature_84	feature_85	feature_86	feature_87	feature_88	feature_89	feature_90	feature_91	feature_92	feature_93	feature_94	feature_95	feature_96	feature_97	feature_98	feature_99	feature_100	feature_101	feature_102	feature_103	feature_104	feature_105	feature_106	feature_107	feature_108	feature_109	feature_110	feature_111	feature_112	feature_113	feature_114	feature_115	feature_116	feature_117	feature_118	feature_119	feature_120	feature_121	feature_122	feature_123	feature_124	feature_125	feature_126	feature_127	feature_128
instance_1	0.026159	0.020809	0.023781	0.03151	0.029727	0.011891	0.004162	0.017836	0.025565	0.014863	0.017836	0.01308	0.016647	0.017836	0.027348	0.016647	0.029132	0.017241	0.017241	0.01962	0.014269	0.005351	0.005351	0.010107	0.005945	0.001189	0.008918	0.002378	0.01308	0.005945	0.017241	0.015458	0.033888	0.017241	0.017836	0.014863	0.01843	0.008323	0.005351	0.013674	0.030321	0.012485	0.012485	0.011891	0.010107	0.004162	0.017241	0.008918	0.01308	0.009512	0.014269	0.011891	0.01962	0.009512	0.004162	0.010702	0.020214	0.016647	0.027943	0.01308	0.009512	0.015458	0.016052	0.012485	0.020567	0.01773	0.025532	0.033333	0.029787	0.011348	0.007801	0.01773	0.019149	0.016312	0.022695	0.021277	0.024113	0.014184	0.029787	0.013475	0.035461	0.017021	0.022695	0.015603	0.014894	0.004965	0.005674	0.009929	0.007092	0.003546	0.005674	0.001418	0.015603	0.00922	0.013475	0.006383	0.021277	0.021277	0.014894	0.017021	0.023404	0.007801	0	0.009929	0.02695	0.009929	0.017021	0.011348	0.014894	0.009929	0.016312	0.013475	0.019858	0.012766	0.015603	0.016312	0.021277	0.011348	0.004255	0.007092	0.021986	0.011348	0.019858	0.016312	0.00922	0.010638	0.013475	0.00922
instance_2	0.028708	0.020335	0.026914	0.032297	0.028708	0.009569	0.001794	0.019139	0.02512	0.01555	0.016746	0.011962	0.017344	0.019737	0.029306	0.014952	0.033493	0.016148	0.01555	0.019737	0.013158	0.004187	0.004187	0.007775	0.00299	0.001794	0.008971	0.002392	0.011364	0.007775	0.019737	0.016746	0.034689	0.01256	0.01555	0.016148	0.019139	0.007775	0.004785	0.014354	0.028708	0.013158	0.013158	0.013158	0.011364	0.005981	0.016148	0.008373	0.011364	0.011962	0.011962	0.01256	0.021531	0.007775	0.005981	0.014952	0.022129	0.014952	0.029306	0.014354	0.008373	0.016148	0.01555	0.011962	0.01773	0.016312	0.02766	0.032624	0.029078	0.012057	0.007092	0.01773	0.01773	0.016312	0.022695	0.021277	0.024823	0.014894	0.029078	0.014184	0.038298	0.016312	0.019149	0.017021	0.019149	0.007092	0.007092	0.009929	0.00922	0.004255	0.006383	0.000709	0.011348	0.007801	0.014184	0.009929	0.021277	0.021277	0.017021	0.01773	0.021986	0.012766	0.000709	0.00922	0.029078	0.012766	0.014894	0.007801	0.014894	0.008511	0.017021	0.010638	0.017021	0.014184	0.013475	0.015603	0.01844	0.011348	0.005674	0.006383	0.021986	0.011348	0.020567	0.017021	0.008511	0.010638	0.014894	0.00922
instance_3	0.02852	0.020202	0.02852	0.032086	0.02852	0.010695	0.002377	0.019608	0.026144	0.016043	0.017231	0.012478	0.019014	0.017825	0.027926	0.014854	0.032086	0.017825	0.016043	0.019608	0.015449	0.003565	0.004159	0.007724	0.002971	0.001783	0.008318	0.001783	0.010695	0.006536	0.019014	0.017825	0.035056	0.013666	0.015449	0.016043	0.017825	0.007724	0.004753	0.01426	0.029115	0.011289	0.011884	0.01426	0.010695	0.006536	0.016637	0.008913	0.013666	0.011289	0.012478	0.011289	0.02139	0.009507	0.004159	0.013072	0.02139	0.014854	0.029115	0.01426	0.008913	0.016637	0.016043	0.011289	0.01773	0.01773	0.02766	0.032624	0.029078	0.009929	0.007801	0.01844	0.019858	0.016312	0.021986	0.021277	0.023404	0.015603	0.029078	0.013475	0.038298	0.015603	0.01844	0.01844	0.01844	0.006383	0.006383	0.00922	0.007092	0.004255	0.007092	0.001418	0.012766	0.007092	0.013475	0.00922	0.022695	0.021986	0.01844	0.017021	0.022695	0.012057	0.000709	0.008511	0.029078	0.012057	0.013475	0.008511	0.012766	0.00922	0.01844	0.012057	0.017021	0.012057	0.014184	0.014184	0.019149	0.012057	0.004965	0.006383	0.024823	0.011348	0.020567	0.017021	0.007801	0.010638	0.016312	0.00922
instance_4	0.026754	0.021403	0.023187	0.03151	0.029727	0.011891	0.004162	0.017836	0.025565	0.014863	0.017836	0.01308	0.016647	0.017836	0.027348	0.016647	0.029132	0.017241	0.017241	0.01962	0.014269	0.005351	0.005351	0.010107	0.005945	0.001189	0.008918	0.002378	0.01308	0.005945	0.017241	0.015458	0.033888	0.016647	0.017241	0.014863	0.01843	0.008323	0.005351	0.013674	0.030321	0.012485	0.01308	0.011891	0.010107	0.004162	0.017241	0.008918	0.01308	0.009512	0.014269	0.011891	0.01962	0.009512	0.004162	0.010702	0.020214	0.016647	0.027943	0.01308	0.009512	0.015458	0.016052	0.012485	0.020567	0.01773	0.025532	0.033333	0.029787	0.011348	0.007801	0.01844	0.019149	0.016312	0.022695	0.021277	0.024113	0.014184	0.029787	0.012766	0.035461	0.017021	0.022695	0.015603	0.014894	0.004965	0.005674	0.009929	0.007092	0.003546	0.005674	0.001418	0.016312	0.00922	0.013475	0.006383	0.021277	0.021986	0.014894	0.016312	0.023404	0.007801	0	0.009929	0.02695	0.009929	0.017021	0.011348	0.014894	0.009929	0.016312	0.013475	0.019858	0.012766	0.015603	0.016312	0.021277	0.011348	0.004255	0.007092	0.021986	0.011348	0.019858	0.016312	0.008511	0.010638	0.013475	0.00922
instance_5	0.026754	0.020809	0.023781	0.032105	0.029132	0.011891	0.004162	0.017836	0.02497	0.014863	0.017836	0.01308	0.017241	0.017836	0.027348	0.016647	0.028537	0.017241	0.017241	0.01962	0.014269	0.005351	0.005351	0.010107	0.005945	0.001189	0.008918	0.002378	0.012485	0.005945	0.017836	0.015458	0.034483	0.016647	0.017241	0.014863	0.01843	0.008323	0.005351	0.013674	0.030916	0.012485	0.012485	0.011891	0.010107	0.004162	0.017241	0.008918	0.013674	0.009512	0.013674	0.011891	0.01962	0.009512	0.004162	0.010702	0.020214	0.016647	0.028537	0.01308	0.009512	0.015458	0.016052	0.012485	0.020567	0.01773	0.025532	0.033333	0.029787	0.011348	0.007801	0.01844	0.019149	0.016312	0.022695	0.021277	0.024113	0.014184	0.029787	0.012766	0.035461	0.017021	0.022695	0.015603	0.014894	0.004965	0.005674	0.009929	0.007092	0.003546	0.005674	0.001418	0.016312	0.00922	0.013475	0.006383	0.021277	0.021986	0.014894	0.016312	0.023404	0.007801	0	0.009929	0.02695	0.009929	0.017021	0.011348	0.014894	0.009929	0.016312	0.013475	0.019858	0.012766	0.015603	0.016312	0.021277	0.011348	0.004255	0.007092	0.021986	0.011348	0.019858	0.016312	0.008511	0.010638	0.013475	0.00922
instance_6	0.027943	0.021403	0.026159	0.032105	0.029727	0.010107	0.001784	0.020809	0.025565	0.015458	0.017836	0.011891	0.016647	0.017836	0.029132	0.015458	0.032699	0.017241	0.016052	0.01962	0.014863	0.004756	0.003567	0.008323	0.003567	0.001784	0.007134	0.001784	0.011296	0.00654	0.019025	0.017241	0.033888	0.014269	0.017241	0.015458	0.017836	0.008323	0.005351	0.012485	0.029132	0.011296	0.01308	0.014269	0.011891	0.004756	0.015458	0.009512	0.01308	0.011891	0.012485	0.011296	0.020809	0.008323	0.003567	0.01308	0.021403	0.015458	0.029727	0.013674	0.009512	0.016052	0.016647	0.011891	0.019858	0.017021	0.02695	0.033333	0.029787	0.011348	0.007092	0.016312	0.01773	0.016312	0.022695	0.021986	0.022695	0.014894	0.02766	0.014184	0.036879	0.015603	0.019858	0.017021	0.01844	0.005674	0.006383	0.010638	0.007801	0.003546	0.007092	0.001418	0.012766	0.007092	0.013475	0.00922	0.022695	0.021986	0.017021	0.014894	0.020567	0.012766	0.001418	0.00922	0.028369	0.011348	0.013475	0.010638	0.014894	0.00922	0.019858	0.011348	0.01773	0.012057	0.014184	0.014894	0.019149	0.011348	0.005674	0.006383	0.023404	0.012057	0.020567	0.017021	0.007801	0.011348	0.015603	0.007801
instance_7	0.027943	0.020214	0.027348	0.029132	0.029727	0.011891	0.002378	0.017836	0.026159	0.016052	0.019025	0.013674	0.017241	0.017241	0.027943	0.017241	0.030321	0.017241	0.019025	0.020214	0.014269	0.005351	0.005351	0.007729	0.005945	0.001784	0.007729	0.000595	0.010702	0.005945	0.015458	0.017241	0.032699	0.014863	0.016647	0.017241	0.020214	0.007134	0.004162	0.012485	0.029727	0.011891	0.011891	0.01308	0.011891	0.005351	0.014269	0.010107	0.013674	0.011891	0.012485	0.012485	0.020214	0.008323	0.004162	0.011891	0.019025	0.014269	0.027943	0.014269	0.011296	0.015458	0.017836	0.01308	0.019858	0.014894	0.02766	0.037589	0.029078	0.009929	0.006383	0.01844	0.01773	0.016312	0.021277	0.024113	0.024113	0.014894	0.029787	0.013475	0.038298	0.016312	0.019858	0.016312	0.016312	0.006383	0.005674	0.010638	0.007092	0.003546	0.005674	0.001418	0.013475	0.008511	0.012766	0.006383	0.023404	0.021986	0.01773	0.013475	0.023404	0.011348	0.000709	0.006383	0.029078	0.011348	0.015603	0.00922	0.015603	0.00922	0.01844	0.012766	0.01844	0.012766	0.014184	0.015603	0.020567	0.011348	0.004965	0.005674	0.022695	0.010638	0.022695	0.017021	0.007092	0.009929	0.015603	0.00922
instance_8	0.026754	0.021403	0.023781	0.03151	0.029727	0.012485	0.004162	0.017836	0.025565	0.014863	0.017836	0.01308	0.016647	0.017241	0.027348	0.016647	0.029132	0.017241	0.017241	0.01962	0.014863	0.005351	0.005351	0.010107	0.005945	0.001189	0.008918	0.002378	0.01308	0.005945	0.017241	0.015458	0.034483	0.016647	0.017241	0.014863	0.01843	0.008323	0.005351	0.013674	0.030321	0.012485	0.012485	0.011891	0.010107	0.004162	0.017241	0.008918	0.01308	0.010107	0.014269	0.011891	0.019025	0.009512	0.004162	0.010702	0.020214	0.016647	0.027943	0.01308	0.009512	0.015458	0.016052	0.012485	0.020567	0.01773	0.025532	0.033333	0.029787	0.011348	0.007801	0.01844	0.019149	0.016312	0.022695	0.021277	0.024113	0.014184	0.029787	0.012766	0.035461	0.017021	0.022695	0.015603	0.014894	0.004965	0.005674	0.009929	0.007092	0.003546	0.005674	0.001418	0.016312	0.00922	0.013475	0.006383	0.021277	0.021986	0.014894	0.016312	0.023404	0.007801	0	0.009929	0.02695	0.009929	0.017021	0.011348	0.014894	0.009929	0.016312	0.013475	0.019858	0.012766	0.015603	0.016312	0.021277	0.011348	0.004255	0.007092	0.021986	0.011348	0.019858	0.016312	0.008511	0.010638	0.013475	0.00922
instance_9	0.027943	0.020214	0.027348	0.029727	0.029727	0.011891	0.002378	0.017836	0.026159	0.016052	0.019025	0.01308	0.017241	0.017241	0.027943	0.017836	0.030321	0.017241	0.019025	0.020214	0.014269	0.005351	0.005351	0.007729	0.005945	0.001784	0.007729	0.000595	0.010702	0.005945	0.015458	0.017241	0.033294	0.014863	0.016052	0.017241	0.020214	0.007134	0.004162	0.012485	0.029727	0.011891	0.011891	0.01308	0.011891	0.005351	0.014269	0.009512	0.013674	0.011891	0.012485	0.012485	0.020214	0.008323	0.004162	0.011891	0.019025	0.014269	0.027943	0.014269	0.011296	0.015458	0.017836	0.01308	0.020567	0.014894	0.02766	0.037589	0.029078	0.009929	0.006383	0.01844	0.01844	0.016312	0.020567	0.024113	0.024113	0.014894	0.029787	0.013475	0.038298	0.016312	0.019858	0.016312	0.016312	0.006383	0.005674	0.010638	0.007092	0.003546	0.005674	0.001418	0.013475	0.008511	0.012766	0.006383	0.023404	0.021986	0.01773	0.013475	0.023404	0.011348	0.000709	0.006383	0.028369	0.011348	0.015603	0.00922	0.015603	0.00922	0.01844	0.012766	0.01844	0.012766	0.014184	0.015603	0.020567	0.011348	0.004965	0.005674	0.022695	0.010638	0.022695	0.017021	0.007092	0.009929	0.015603	0.00922
instance_10	0.029132	0.023187	0.027943	0.029727	0.030321	0.011891	0.004162	0.017836	0.025565	0.014269	0.01843	0.012485	0.016052	0.017241	0.027348	0.016052	0.032105	0.016647	0.016052	0.020214	0.01308	0.005351	0.004756	0.010107	0.005945	0.001189	0.008918	0.001784	0.011296	0.005945	0.017241	0.016052	0.036266	0.014863	0.014863	0.016052	0.016647	0.007134	0.005351	0.01308	0.029727	0.010702	0.011891	0.014863	0.011891	0.005945	0.015458	0.010107	0.012485	0.011891	0.013674	0.010702	0.022592	0.008918	0.003567	0.010107	0.019025	0.016052	0.027943	0.014269	0.009512	0.015458	0.017241	0.01308	0.019858	0.019149	0.026241	0.03617	0.031915	0.009929	0.007801	0.01844	0.017021	0.014894	0.024823	0.021277	0.024113	0.014894	0.030496	0.013475	0.038298	0.017021	0.023404	0.015603	0.01773	0.004965	0.005674	0.008511	0.007092	0.002128	0.005674	0.002128	0.014894	0.00922	0.013475	0.005674	0.024113	0.019858	0.014184	0.014894	0.021277	0.010638	0	0.009929	0.028369	0.011348	0.015603	0.010638	0.014894	0.00922	0.015603	0.012766	0.019149	0.013475	0.013475	0.016312	0.022695	0.011348	0.003546	0.007092	0.021277	0.013475	0.019858	0.014184	0.008511	0.010638	0.012766	0.00922
