instance_name	label
instance_1	0
instance_2	0
instance_3	0
instance_4	4
instance_5	1
instance_6	3
instance_7	0
instance_8	1
instance_9	0
instance_10	0
instance_11	0
instance_12	0
instance_13	0
instance_14	0
instance_15	1
instance_16	0
instance_17	2
instance_18	0
instance_19	0
instance_20	3
instance_21	0
instance_22	0
instance_23	1
instance_24	2
instance_25	0
instance_26	4
instance_27	0
instance_28	1
instance_29	0
instance_30	0
instance_31	3
instance_32	0
instance_33	1
instance_34	0
instance_35	1
instance_36	1
instance_37	3
instance_38	4
instance_39	4
instance_40	0
instance_41	4
instance_42	0
instance_43	1
instance_44	0
instance_45	0
instance_46	0
instance_47	0
instance_48	0
instance_49	0
instance_50	4
instance_51	0
instance_52	2
instance_53	0
instance_54	0
instance_55	2
instance_56	2
instance_57	3
instance_58	2
instance_59	4
instance_60	2
instance_61	2
instance_62	1
instance_63	1
instance_64	0
instance_65	1
instance_66	4
instance_67	0
instance_68	3
instance_69	0
instance_70	0
instance_71	0
instance_72	1
instance_73	2
instance_74	2
instance_75	3
instance_76	2
instance_77	3
instance_78	0
instance_79	0
instance_80	2
instance_81	2
instance_82	0
instance_83	3
instance_84	0
instance_85	0
instance_86	2
instance_87	1
instance_88	2
instance_89	3
instance_90	1
instance_91	0
instance_92	0
instance_93	4
instance_94	2
instance_95	0
instance_96	2
instance_97	2
instance_98	0
instance_99	3
instance_100	2
instance_101	0
instance_102	0
instance_103	0
instance_104	1
instance_105	0
instance_106	0
instance_107	0
instance_108	0
instance_109	1
instance_110	2
instance_111	0
instance_112	3
instance_113	0
instance_114	0
instance_115	1
instance_116	3
instance_117	0
instance_118	0
instance_119	0
instance_120	0
instance_121	0
instance_122	0
instance_123	1
instance_124	3
instance_125	4
instance_126	0
instance_127	0
instance_128	4
instance_129	1
instance_130	0
instance_131	4
instance_132	0
instance_133	0
instance_134	0
instance_135	0
instance_136	0
instance_137	1
instance_138	1
instance_139	0
instance_140	2
instance_141	0
instance_142	1
instance_143	0
instance_144	1
instance_145	3
instance_146	1
instance_147	4
instance_148	0
instance_149	0
instance_150	0
instance_151	2
instance_152	0
instance_153	3
instance_154	0
instance_155	4
instance_156	2
instance_157	0
instance_158	2
instance_159	0
instance_160	0
instance_161	4
instance_162	0
instance_163	1
instance_164	0
instance_165	2
instance_166	0
instance_167	2
instance_168	1
instance_169	0
instance_170	1
instance_171	0
instance_172	1
instance_173	0
instance_174	3
instance_175	1
instance_176	2
instance_177	2
instance_178	4
instance_179	0
instance_180	0
instance_181	4
instance_182	1
instance_183	1
instance_184	1
instance_185	1
instance_186	4
instance_187	1
instance_188	0
instance_189	0
instance_190	1
instance_191	1
instance_192	4
instance_193	0
instance_194	0
instance_195	2
instance_196	3
instance_197	1
instance_198	0
instance_199	0
instance_200	2
instance_201	1
instance_202	4
instance_203	4
instance_204	1
instance_205	0
instance_206	4
instance_207	4
instance_208	4
instance_209	4
instance_210	3
instance_211	4
instance_212	0
instance_213	4
instance_214	4
instance_215	3
instance_216	4
instance_217	3
instance_218	1
instance_219	4
instance_220	4
instance_221	0
