instance_name	feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30	feature_31	feature_32	feature_33	feature_34	feature_35	feature_36	feature_37	feature_38	feature_39	feature_40	feature_41	feature_42	feature_43	feature_44	feature_45	feature_46	feature_47	feature_48	feature_49	feature_50	feature_51	feature_52	feature_53	feature_54	feature_55	feature_56	feature_57	feature_58	feature_59	feature_60	feature_61	feature_62	feature_63	feature_64	feature_65	feature_66	feature_67	feature_68	feature_69	feature_70	feature_71	feature_72	feature_73	feature_74	feature_75	feature_76	feature_77	feature_78	feature_79	feature_80	feature_81	feature_82	feature_83	feature_84	feature_85	feature_86	feature_87	feature_88	feature_89	feature_90	feature_91	feature_92	feature_93	feature_94	feature_95	feature_96	feature_97	feature_98	feature_99	feature_100	feature_101	feature_102	feature_103	feature_104	feature_105	feature_106	feature_107	feature_108	feature_109	feature_110	feature_111	feature_112	feature_113	feature_114	feature_115	feature_116	feature_117	feature_118	feature_119	feature_120	feature_121	feature_122	feature_123	feature_124	feature_125	feature_126	feature_127	feature_128
unknown_1	0.014337	0.014337	0.014337	0.016129	0.015532	0.005974	0.001195	0.009558	0.019116	0.005974	0.008961	0.006571	0.008961	0.01135	0.017324	0.009558	0.019116	0.005974	0.01374	0.010155	0.005974	0.000597	0.001792	0.004779	0.004182	0.000597	0.002389	0	0.005376	0.004182	0.010753	0.007766	0.020311	0.008363	0.008363	0.014337	0.010753	0.003584	0.000597	0.006571	0.014934	0.004779	0.006571	0.004182	0.002987	0.002389	0.005974	0.007766	0.005376	0.003584	0.004779	0.007168	0.016726	0.002987	0.003584	0.007168	0.012545	0.009558	0.012545	0.008961	0.003584	0.012545	0.008961	0.007168	0.019858	0.014184	0.022695	0.031915	0.020567	0.012057	0.006383	0.00922	0.024823	0.009929	0.024113	0.024823	0.01773	0.013475	0.033333	0.020567	0.026241	0.008511	0.028369	0.019149	0.016312	0.006383	0.002837	0.00922	0.004965	0	0.007801	0.002128	0.008511	0.008511	0.011348	0.00922	0.02695	0.012766	0.019149	0.022695	0.021277	0.005674	0	0.008511	0.02766	0.014894	0.017021	0.017021	0.015603	0.013475	0.015603	0.015603	0.015603	0.012766	0.013475	0.012057	0.024113	0.010638	0.005674	0.010638	0.024113	0.010638	0.02766	0.015603	0.010638	0.015603	0.019149	0.010638
unknown_2	0.016726	0.015532	0.023895	0.031063	0.023297	0.019116	0.004779	0.014337	0.026882	0.016129	0.019713	0.012545	0.016129	0.016726	0.028674	0.015532	0.029271	0.010155	0.025687	0.017921	0.016726	0.007168	0.004182	0.017921	0.008363	0.002987	0.006571	0.002389	0.014337	0.007766	0.020311	0.01374	0.032258	0.022103	0.016129	0.017921	0.021505	0.008961	0.005974	0.01135	0.026284	0.010155	0.01374	0.01135	0.008363	0.009558	0.010155	0.012545	0.008961	0.01374	0.010753	0.01135	0.022103	0.010753	0.005376	0.01135	0.02509	0.018519	0.021505	0.014337	0.004779	0.016726	0.020311	0.010753	0.017021	0.017021	0.020567	0.031915	0.020567	0.004965	0.005674	0.015603	0.021986	0.012057	0.021986	0.021277	0.01773	0.00922	0.029787	0.021986	0.024113	0.00922	0.024113	0.014894	0.01773	0.008511	0.002837	0.009929	0.00922	0.002128	0.004965	0.002837	0.007801	0.00922	0.013475	0.013475	0.031206	0.011348	0.019149	0.019149	0.016312	0.014894	0.002128	0.007092	0.025532	0.013475	0.01844	0.019149	0.01844	0.013475	0.014184	0.014894	0.014184	0.011348	0.014894	0.013475	0.015603	0.010638	0.008511	0.012057	0.021986	0.012766	0.031206	0.01844	0.00922	0.014894	0.026241	0.012766
unknown_3	0.016726	0.015532	0.023895	0.031063	0.023895	0.019116	0.004182	0.014337	0.026284	0.016129	0.019713	0.012545	0.016129	0.016726	0.029271	0.015532	0.029271	0.010155	0.025687	0.018519	0.016726	0.007168	0.004182	0.017921	0.008363	0.002987	0.006571	0.001792	0.014337	0.007766	0.020311	0.01374	0.032258	0.022103	0.015532	0.017921	0.021505	0.008961	0.005974	0.01135	0.026284	0.010155	0.014337	0.01135	0.008363	0.009558	0.009558	0.012545	0.008961	0.01374	0.010753	0.01135	0.022103	0.010753	0.005376	0.01135	0.02509	0.018519	0.021505	0.014337	0.004779	0.016726	0.020311	0.010753	0.017021	0.017021	0.021277	0.031915	0.020567	0.004965	0.005674	0.015603	0.021986	0.012057	0.021986	0.021277	0.01773	0.00922	0.029787	0.021986	0.024113	0.00922	0.024113	0.014894	0.01773	0.008511	0.002837	0.009929	0.00922	0.002128	0.004965	0.002837	0.007801	0.009929	0.013475	0.013475	0.031915	0.011348	0.01844	0.019149	0.015603	0.014894	0.002837	0.007092	0.025532	0.013475	0.01844	0.019149	0.01844	0.013475	0.014184	0.014894	0.014184	0.011348	0.014894	0.013475	0.016312	0.010638	0.007801	0.012766	0.021986	0.012766	0.031206	0.01844	0.00922	0.014894	0.026241	0.012766
unknown_4	0.017921	0.019116	0.024492	0.027479	0.021505	0.017921	0.008961	0.016129	0.02509	0.015532	0.021505	0.012545	0.016129	0.017921	0.026284	0.014934	0.028076	0.011947	0.025687	0.017921	0.015532	0.007168	0.003584	0.017921	0.009558	0.002987	0.007168	0.002389	0.01374	0.007168	0.017921	0.016726	0.030466	0.020908	0.015532	0.020908	0.0227	0.010155	0.004182	0.010753	0.027479	0.010753	0.014337	0.010753	0.007168	0.007766	0.01135	0.012545	0.012545	0.012545	0.009558	0.010155	0.024492	0.008961	0.005376	0.009558	0.024492	0.018519	0.020311	0.013142	0.006571	0.016726	0.020908	0.011947	0.016312	0.014184	0.021277	0.033333	0.021277	0.005674	0.004965	0.015603	0.020567	0.012766	0.023404	0.020567	0.01844	0.009929	0.029078	0.022695	0.026241	0.00922	0.025532	0.015603	0.01844	0.00922	0.002128	0.009929	0.007801	0.002128	0.001418	0.002837	0.007801	0.007801	0.015603	0.013475	0.028369	0.012766	0.01773	0.019149	0.01844	0.014894	0.002128	0.005674	0.024823	0.014184	0.021277	0.01844	0.015603	0.013475	0.014184	0.014894	0.014184	0.012766	0.014184	0.012766	0.017021	0.009929	0.004965	0.014184	0.022695	0.012057	0.032624	0.01773	0.011348	0.014894	0.024823	0.012057
unknown_5	0.017921	0.019713	0.023895	0.026284	0.025687	0.017921	0.007168	0.014337	0.026284	0.014337	0.019713	0.014337	0.015532	0.018519	0.025687	0.014934	0.028076	0.011947	0.025687	0.017921	0.014337	0.007766	0.004182	0.017324	0.008961	0.001792	0.007766	0.002987	0.015532	0.008363	0.017324	0.014337	0.030466	0.020908	0.016726	0.019713	0.018519	0.008961	0.004182	0.012545	0.026882	0.009558	0.01374	0.011947	0.008363	0.007168	0.011947	0.01374	0.01135	0.012545	0.009558	0.012545	0.025687	0.008961	0.005974	0.010753	0.023895	0.018519	0.020908	0.011947	0.004779	0.017921	0.020311	0.012545	0.014894	0.013475	0.021986	0.031915	0.019858	0.007801	0.006383	0.015603	0.025532	0.010638	0.019858	0.021986	0.019858	0.00922	0.028369	0.023404	0.020567	0.00922	0.02695	0.013475	0.017021	0.006383	0.002837	0.012766	0.007092	0.002128	0.004255	0.004255	0.008511	0.009929	0.014894	0.012766	0.030496	0.016312	0.017021	0.021277	0.016312	0.012766	0.002128	0.007092	0.026241	0.013475	0.01773	0.016312	0.017021	0.012057	0.014894	0.014894	0.016312	0.012057	0.014184	0.014894	0.015603	0.012057	0.006383	0.011348	0.023404	0.012057	0.031915	0.017021	0.011348	0.014184	0.025532	0.012766
unknown_6	0.018519	0.017921	0.024492	0.030466	0.023895	0.017921	0.007168	0.01374	0.026882	0.016726	0.018519	0.01374	0.015532	0.016726	0.026284	0.016726	0.029869	0.01135	0.02509	0.017324	0.015532	0.007766	0.005974	0.016726	0.008363	0.001792	0.008363	0.002987	0.01374	0.007766	0.016726	0.014934	0.031661	0.021505	0.016726	0.016726	0.020908	0.008961	0.004182	0.011947	0.026284	0.008961	0.014934	0.01135	0.009558	0.008363	0.010753	0.013142	0.01135	0.011947	0.010753	0.011947	0.023895	0.01135	0.004182	0.009558	0.023297	0.018519	0.019713	0.01374	0.005974	0.017324	0.021505	0.011947	0.014184	0.013475	0.021986	0.031206	0.017021	0.004255	0.007092	0.014894	0.024113	0.012057	0.020567	0.023404	0.019149	0.012057	0.02766	0.020567	0.023404	0.00922	0.02695	0.014184	0.01773	0.007801	0.002128	0.010638	0.007801	0.002837	0.003546	0.002837	0.007801	0.009929	0.014894	0.012766	0.029078	0.012057	0.019149	0.021277	0.01844	0.014184	0.002128	0.00922	0.024113	0.014894	0.01844	0.01773	0.014894	0.013475	0.01844	0.014184	0.014184	0.009929	0.013475	0.014184	0.019149	0.012057	0.005674	0.011348	0.023404	0.014184	0.032624	0.017021	0.008511	0.012766	0.026241	0.012766
unknown_7	0.018519	0.017921	0.023297	0.030466	0.02509	0.016129	0.006571	0.014934	0.026882	0.017324	0.019713	0.01135	0.014934	0.020311	0.026882	0.015532	0.031063	0.010155	0.026284	0.018519	0.016129	0.007168	0.003584	0.016726	0.008961	0.001792	0.005376	0.002987	0.014337	0.008961	0.017921	0.014934	0.031063	0.022103	0.016726	0.017921	0.021505	0.008363	0.004182	0.012545	0.02509	0.010155	0.014337	0.01135	0.008363	0.006571	0.01135	0.012545	0.009558	0.012545	0.010155	0.011947	0.023895	0.011947	0.004779	0.010753	0.02509	0.017324	0.021505	0.013142	0.005376	0.016726	0.020908	0.010753	0.015603	0.013475	0.023404	0.031915	0.01773	0.007092	0.004965	0.016312	0.023404	0.011348	0.021277	0.021986	0.022695	0.00922	0.029078	0.020567	0.023404	0.00922	0.025532	0.014184	0.019149	0.007801	0.002128	0.012766	0.007801	0.002837	0.003546	0.002837	0.006383	0.009929	0.017021	0.012766	0.031206	0.014894	0.016312	0.020567	0.01773	0.014184	0.002837	0.007092	0.025532	0.013475	0.017021	0.01773	0.014184	0.012057	0.015603	0.015603	0.014184	0.009929	0.014184	0.014894	0.016312	0.012766	0.007092	0.009929	0.024113	0.014184	0.031915	0.015603	0.009929	0.015603	0.023404	0.012766
unknown_8	0.018519	0.015532	0.023895	0.031063	0.022103	0.017324	0.006571	0.014934	0.026284	0.016726	0.020311	0.013142	0.016726	0.017324	0.027479	0.016726	0.027479	0.012545	0.026284	0.017921	0.015532	0.008363	0.004182	0.017324	0.008961	0.002987	0.005376	0.002987	0.011947	0.007168	0.017921	0.016129	0.031661	0.020908	0.016726	0.019713	0.022103	0.010155	0.004182	0.010753	0.026284	0.008961	0.013142	0.010753	0.007766	0.008363	0.01135	0.012545	0.01135	0.011947	0.010155	0.010753	0.02509	0.009558	0.005376	0.009558	0.026284	0.018519	0.020311	0.013142	0.006571	0.017324	0.021505	0.011947	0.017021	0.01844	0.021986	0.023404	0.021986	0.005674	0.006383	0.01844	0.020567	0.011348	0.023404	0.022695	0.019858	0.00922	0.02695	0.019149	0.024823	0.007801	0.026241	0.019149	0.01844	0.007801	0.002128	0.009929	0.007801	0.002128	0.005674	0.002128	0.007092	0.012766	0.014184	0.014184	0.026241	0.014894	0.015603	0.019858	0.01844	0.013475	0.002128	0.008511	0.025532	0.014894	0.01844	0.019858	0.014894	0.012766	0.01773	0.014894	0.012766	0.012766	0.013475	0.012766	0.01773	0.011348	0.007092	0.011348	0.023404	0.014184	0.031206	0.015603	0.00922	0.012766	0.026241	0.011348
unknown_9	0.018519	0.016726	0.023895	0.028674	0.023297	0.019116	0.005974	0.014934	0.025687	0.017324	0.020908	0.011947	0.014934	0.016129	0.028076	0.017921	0.028076	0.012545	0.025687	0.018519	0.016129	0.010155	0.002987	0.017324	0.008363	0.001792	0.006571	0.002389	0.01374	0.005974	0.017324	0.016129	0.030466	0.022103	0.016726	0.019713	0.021505	0.009558	0.004779	0.010753	0.028076	0.008961	0.01374	0.01135	0.008363	0.007766	0.010753	0.011947	0.010753	0.011947	0.010155	0.01135	0.024492	0.007766	0.004779	0.008961	0.025687	0.019116	0.020908	0.013142	0.005974	0.017324	0.0227	0.011947	0.019149	0.019149	0.019858	0.026241	0.023404	0.004965	0.007092	0.01773	0.020567	0.010638	0.022695	0.020567	0.021277	0.009929	0.024823	0.020567	0.024823	0.00922	0.026241	0.015603	0.017021	0.008511	0.002128	0.012057	0.00922	0.002128	0.005674	0.002128	0.007092	0.010638	0.015603	0.014894	0.02695	0.014184	0.015603	0.020567	0.015603	0.014184	0.002837	0.007801	0.024823	0.014184	0.01844	0.019858	0.013475	0.013475	0.017021	0.013475	0.013475	0.012057	0.012057	0.013475	0.01844	0.012057	0.007092	0.010638	0.023404	0.013475	0.030496	0.015603	0.010638	0.014184	0.024823	0.012766
unknown_10	0.018519	0.017324	0.023297	0.029271	0.023895	0.019116	0.005376	0.014337	0.025687	0.016726	0.020311	0.012545	0.014337	0.018519	0.028076	0.014934	0.027479	0.012545	0.026284	0.017324	0.014934	0.008961	0.004779	0.018519	0.007766	0.002389	0.007168	0.002987	0.014934	0.007168	0.017324	0.014934	0.031063	0.021505	0.016129	0.017921	0.021505	0.009558	0.004182	0.011947	0.02509	0.010155	0.016129	0.011947	0.009558	0.005974	0.011947	0.01374	0.01135	0.01135	0.010753	0.011947	0.023895	0.009558	0.005974	0.008961	0.026284	0.017921	0.019713	0.013142	0.005974	0.017324	0.020311	0.011947	0.014184	0.017021	0.020567	0.031206	0.019149	0.007092	0.007092	0.017021	0.022695	0.010638	0.023404	0.022695	0.021277	0.011348	0.02695	0.019149	0.024113	0.008511	0.026241	0.014184	0.019149	0.007801	0.002128	0.012766	0.00922	0.002128	0.003546	0.004255	0.006383	0.00922	0.01773	0.012766	0.031206	0.012766	0.019149	0.021277	0.01844	0.012766	0.002837	0.007092	0.02766	0.014894	0.017021	0.016312	0.014184	0.012766	0.015603	0.015603	0.013475	0.012766	0.013475	0.012766	0.015603	0.014184	0.007092	0.009929	0.024113	0.013475	0.031915	0.015603	0.009929	0.013475	0.024113	0.012057
